Customer id,Gender,Age,Payment method
C00001,F,67,Mobile Payment
C00002,M,61,Credit Card
C00003,F,36,Credit Card
C00004,M,27,Mobile Payment
C00005,M,35,Cash
C00006,M,45,Credit Card
C00007,M,21,Credit Card
C00008,F,41,Credit Card
C00009,F,54,Credit Card
C00010,M,67,Mobile Payment
C00011,F,27,Credit Card
C00012,F,38,Mobile Payment
C00013,M,48,Mobile Payment
C00014,M,53,Credit Card
C00015,F,49,Cash
C00016,M,46,Credit Card
C00017,F,31,Mobile Payment
C00018,M,52,Credit Card
C00019,M,57,Mobile Payment
C00020,M,40,Mobile Payment
C00021,M,69,Credit Card
C00022,F,61,Credit Card
C00023,M,48,Mobile Payment
C00024,M,24,Credit Card
C00025,M,46,Mobile Payment
C00026,M,65,Credit Card
C00027,M,34,Credit Card
C00028,M,23,Credit Card
C00029,M,23,Credit Card
C00030,M,60,Credit Card
C00031,M,37,Credit Card
C00032,M,47,Credit Card
C00033,M,55,Credit Card
C00034,M,66,Credit Card
C00035,M,44,Cash
C00036,M,27,Credit Card
C00037,F,52,Credit Card
C00038,F,32,Mobile Payment
C00039,M,70,Cash
C00040,F,31,Credit Card
C00041,F,67,Cash
C00042,M,26,Credit Card
C00043,M,36,Cash
C00044,F,29,Mobile Payment
C00045,F,44,Mobile Payment
C00046,F,34,Credit Card
C00047,F,39,Credit Card
C00048,M,42,Credit Card
C00049,F,35,Credit Card
C00050,M,43,Credit Card
C00051,M,33,Credit Card
C00052,F,69,Credit Card
C00053,F,58,Mobile Payment
C00054,M,46,Mobile Payment
C00055,F,21,Credit Card
C00056,F,34,Credit Card
C00057,M,20,Cash
C00058,M,63,Mobile Payment
C00059,M,49,Credit Card
C00060,M,54,Credit Card
C00061,M,20,Mobile Payment
C00062,M,71,Mobile Payment
C00063,F,29,Credit Card
C00064,F,29,Mobile Payment
C00065,F,47,Credit Card
C00066,M,46,Credit Card
C00067,F,52,Mobile Payment
C00068,F,21,Credit Card
C00069,F,33,Mobile Payment
C00070,M,68,Credit Card
C00071,F,48,Mobile Payment
C00072,F,60,Mobile Payment
C00073,M,28,Credit Card
C00074,M,32,Mobile Payment
C00075,F,67,Cash
C00076,F,29,Credit Card
C00077,F,58,Mobile Payment
C00078,F,21,Cash
C00079,F,23,Credit Card
C00080,M,35,Credit Card
C00081,M,59,Mobile Payment
C00082,M,30,Credit Card
C00083,F,53,Mobile Payment
C00084,M,67,Mobile Payment
C00085,M,46,Credit Card
C00086,M,67,Credit Card
C00087,F,72,Credit Card
C00088,F,51,Credit Card
C00089,M,55,Credit Card
C00090,F,21,Mobile Payment
C00091,M,33,Credit Card
C00092,F,47,Credit Card
C00093,M,56,Credit Card
C00094,F,62,Credit Card
C00095,F,43,Mobile Payment
C00096,M,61,Credit Card
C00097,M,58,Cash
C00098,F,29,Mobile Payment
C00099,M,71,Credit Card
C00100,F,33,Mobile Payment
C00101,M,21,Credit Card
C00102,F,50,Credit Card
C00103,F,59,Credit Card
C00104,F,71,Mobile Payment
C00105,F,68,Mobile Payment
C00106,M,55,Mobile Payment
C00107,M,26,Credit Card
C00108,M,57,Mobile Payment
C00109,M,58,Mobile Payment
C00110,M,45,Cash
C00111,M,43,Credit Card
C00112,M,39,Mobile Payment
C00113,F,72,Credit Card
C00114,M,37,Mobile Payment
C00115,M,72,Mobile Payment
C00116,F,51,Cash
C00117,F,31,Mobile Payment
C00118,F,59,Cash
C00119,F,72,Mobile Payment
C00120,F,31,Mobile Payment
C00121,M,35,Credit Card
C00122,F,45,Cash
C00123,F,72,Mobile Payment
C00124,F,57,Cash
C00125,M,72,Credit Card
C00126,M,48,Mobile Payment
C00127,F,52,Credit Card
C00128,M,59,Credit Card
C00129,F,33,Credit Card
C00130,F,33,Mobile Payment
C00131,M,49,Mobile Payment
C00132,M,70,Mobile Payment
C00133,F,21,Mobile Payment
C00134,F,25,Credit Card
C00135,F,39,Mobile Payment
C00136,F,23,Cash
C00137,M,44,Mobile Payment
C00138,F,39,Credit Card
C00139,M,21,Mobile Payment
C00140,F,30,Credit Card
C00141,M,59,Mobile Payment
C00142,F,31,Credit Card
C00143,F,25,Credit Card
C00144,F,23,Mobile Payment
C00145,M,22,Credit Card
C00146,M,52,Mobile Payment
C00147,F,51,Mobile Payment
C00148,M,37,Mobile Payment
C00149,F,44,Mobile Payment
C00150,M,31,Mobile Payment
C00151,F,51,Credit Card
C00152,M,31,Credit Card
C00153,F,33,Credit Card
C00154,F,23,Credit Card
C00155,M,38,Credit Card
C00156,F,31,Credit Card
C00157,F,54,Credit Card
C00158,M,59,Cash
C00159,M,39,Mobile Payment
C00160,F,35,Cash
C00161,M,25,Mobile Payment
C00162,M,45,Credit Card
C00163,M,28,Credit Card
C00164,M,31,Credit Card
C00165,M,25,Mobile Payment
C00166,M,21,Credit Card
C00167,M,72,Mobile Payment
C00168,F,32,Credit Card
C00169,M,61,Credit Card
C00170,F,68,Credit Card
C00171,M,60,Credit Card
C00172,M,47,Credit Card
C00173,M,36,Cash
C00174,F,50,Cash
C00175,M,68,Mobile Payment
C00176,F,59,Mobile Payment
C00177,M,58,Credit Card
C00178,F,36,Credit Card
C00179,M,54,Credit Card
C00180,M,37,Credit Card
C00181,F,55,Cash
C00182,F,44,Mobile Payment
C00183,M,37,Credit Card
C00184,F,36,Mobile Payment
C00185,M,55,Cash
C00186,M,40,Mobile Payment
C00187,M,40,Credit Card
C00188,F,22,Mobile Payment
C00189,M,72,Mobile Payment
C00190,M,38,Credit Card
C00191,M,43,Cash
C00192,M,37,Credit Card
C00193,F,26,Cash
C00194,F,31,Mobile Payment
C00195,F,45,Cash
C00196,F,51,Mobile Payment
C00197,M,31,Credit Card
C00198,F,35,Credit Card
C00199,M,28,Mobile Payment
C00200,F,25,Mobile Payment
C00201,M,52,Mobile Payment
C00202,M,62,Mobile Payment
C00203,M,60,Credit Card
C00204,M,58,Mobile Payment
C00205,F,26,Mobile Payment
C00206,F,43,Mobile Payment
C00207,M,38,Credit Card
C00208,F,67,Mobile Payment
C00209,M,71,Credit Card
C00210,M,35,Cash
C00211,F,37,Credit Card
C00212,M,25,Mobile Payment
C00213,F,33,Cash
C00214,M,37,Credit Card
C00215,M,38,Credit Card
C00216,F,38,Mobile Payment
C00217,F,57,Credit Card
C00218,M,56,Credit Card
C00219,F,30,Mobile Payment
C00220,M,51,Mobile Payment
C00221,M,50,Credit Card
C00222,F,20,Mobile Payment
C00223,M,57,Cash
C00224,M,42,Mobile Payment
C00225,M,28,Cash
C00226,F,46,Credit Card
C00227,F,45,Credit Card
C00228,F,25,Cash
C00229,M,64,Cash
C00230,M,46,Credit Card
C00231,M,35,Credit Card
C00232,M,56,Mobile Payment
C00233,M,39,Credit Card
C00234,M,61,Credit Card
C00235,M,25,Cash
C00236,M,28,Cash
C00237,M,67,Mobile Payment
C00238,F,47,Mobile Payment
C00239,M,45,Cash
C00240,M,26,Mobile Payment
C00241,M,47,Cash
C00242,M,21,Credit Card
C00243,M,37,Credit Card
C00244,M,71,Mobile Payment
C00245,M,58,Credit Card
C00246,F,66,Credit Card
C00247,F,37,Credit Card
C00248,M,32,Mobile Payment
C00249,M,47,Mobile Payment
C00250,M,22,Mobile Payment
C00251,M,26,Credit Card
C00252,M,43,Credit Card
C00253,F,20,Mobile Payment
C00254,M,51,Credit Card
C00255,M,27,Mobile Payment
C00256,M,55,Mobile Payment
C00257,F,68,Mobile Payment
C00258,M,37,Mobile Payment
C00259,F,22,Credit Card
C00260,F,68,Cash
C00261,F,44,Cash
C00262,M,23,Mobile Payment
C00263,M,20,Mobile Payment
C00264,F,65,Credit Card
C00265,F,70,Credit Card
C00266,F,70,Mobile Payment
C00267,M,44,Mobile Payment
C00268,M,57,Credit Card
C00269,M,36,Mobile Payment
C00270,F,70,Credit Card
C00271,M,42,Cash
C00272,M,66,Credit Card
C00273,M,71,Mobile Payment
C00274,M,59,Mobile Payment
C00275,M,52,Credit Card
C00276,F,33,Mobile Payment
C00277,F,69,Mobile Payment
C00278,M,52,Credit Card
C00279,M,40,Credit Card
C00280,M,44,Credit Card
C00281,F,35,Credit Card
C00282,M,48,Mobile Payment
C00283,F,33,Cash
C00284,F,59,Credit Card
C00285,F,56,Mobile Payment
C00286,M,66,Cash
C00287,F,63,Credit Card
C00288,M,27,Credit Card
C00289,F,61,Credit Card
C00290,M,21,Mobile Payment
C00291,M,28,Mobile Payment
C00292,M,26,Credit Card
C00293,M,44,Cash
C00294,M,46,Credit Card
C00295,M,60,Mobile Payment
C00296,F,57,Cash
C00297,M,66,Credit Card
C00298,F,63,Cash
C00299,M,40,Mobile Payment
C00300,M,40,Credit Card
C00301,F,44,Credit Card
C00302,M,26,Mobile Payment
C00303,M,49,Credit Card
C00304,F,56,Mobile Payment
C00305,M,30,Credit Card
C00306,F,28,Credit Card
C00307,F,53,Cash
C00308,F,68,Mobile Payment
C00309,M,71,Mobile Payment
C00310,M,47,Credit Card
C00311,F,61,Mobile Payment
C00312,F,22,Mobile Payment
C00313,F,38,Credit Card
C00314,F,63,Credit Card
C00315,M,55,Mobile Payment
C00316,M,35,Mobile Payment
C00317,M,55,Cash
C00318,F,50,Credit Card
C00319,F,32,Mobile Payment
C00320,M,35,Credit Card
C00321,M,59,Credit Card
C00322,F,31,Credit Card
C00323,M,65,Credit Card
C00324,M,24,Credit Card
C00325,M,60,Credit Card
C00326,F,31,Mobile Payment
C00327,F,62,Mobile Payment
C00328,M,67,Mobile Payment
C00329,F,70,Credit Card
C00330,F,61,Credit Card
C00331,M,35,Mobile Payment
C00332,F,21,Credit Card
C00333,M,29,Mobile Payment
C00334,F,42,Credit Card
C00335,F,41,Credit Card
C00336,M,60,Credit Card
C00337,F,36,Mobile Payment
C00338,M,26,Mobile Payment
C00339,M,71,Mobile Payment
C00340,F,56,Credit Card
C00341,F,33,Credit Card
C00342,F,43,Cash
C00343,F,51,Mobile Payment
C00344,F,72,Mobile Payment
C00345,F,54,Mobile Payment
C00346,M,24,Credit Card
C00347,F,50,Mobile Payment
C00348,M,66,Credit Card
C00349,F,53,Mobile Payment
C00350,F,44,Cash
C00351,M,69,Credit Card
C00352,F,42,Credit Card
C00353,F,22,Credit Card
C00354,M,54,Credit Card
C00355,M,24,Credit Card
C00356,M,29,Credit Card
C00357,M,62,Credit Card
C00358,F,64,Credit Card
