Invoice no,Customer id,Product id list,Invoice date,Shopping mall
INV00001,C01125,"P00497,P00042,P00047",25/01/2025,ST
INV00002,C01090,P00187,03/02/2024,CYB
INV00003,C00884,"P00139,P00382,P00068,P00340",18/11/2024,TKO
INV00004,C00211,"P00184,P00318",24/12/2024,CYB
INV00005,C00514,"P00270,P00293",31/12/2024,MK
INV00006,C00666,"P00413,P00389,P00353,P00458,P00264,P00469",11/09/2024,TKO
INV00007,C00427,"P00413,P00389,P00353,P00458",05/08/2024,CYB
INV00008,C00831,"P00413,P00389,P00353,P00458,P00245",06/11/2024,CYB
INV00009,C00946,"P00227,P00216",02/12/2025,TKO
INV00010,C01363,"P00413,P00389,P00353,P00458,P00139",14/12/2025,CYB
INV00011,C00014,"P00046,P00280",30/07/2025,CYB
INV00012,C00177,"P00377,P00243,P00090,P00497",05/09/2024,MK
INV00013,C01327,"P00138,P00094,P00215",28/11/2024,MK
INV00014,C01008,P00144,20/06/2024,MK
INV00015,C01278,"P00413,P00389,P00353,P00458,P00299",25/12/2024,CYB
INV00016,C01035,"P00413,P00389,P00353,P00458",05/05/2025,ST
INV00017,C01446,"P00413,P00389,P00353,P00458,P00228",21/03/2025,ST
INV00018,C00832,"P00413,P00389,P00353,P00458,P00090",17/05/2025,CYB
INV00019,C01318,"P00272,P00381",17/01/2025,TKO
INV00020,C00089,"P00474,P00017",08/08/2024,MK
INV00021,C01160,"P00489,P00009,P00505,P00285,P00265",22/09/2025,MK
INV00022,C01442,"P00372,P00206,P00362",21/02/2024,TKO
INV00023,C00163,"P00413,P00389,P00353,P00458,P00009",18/04/2025,MK
INV00024,C00992,P00080,16/07/2024,CYB
INV00025,C00161,"P00246,P00267",02/01/2024,MK
INV00026,C00094,P00174,19/01/2024,ST
INV00027,C00309,"P00172,P00144,P00414,P00271,P00285",25/10/2025,MK
INV00028,C00686,"P00413,P00389,P00353,P00458,P00196,P00113",25/07/2024,CYB
INV00029,C01113,"P00221,P00387,P00386",31/07/2024,TKO
INV00030,C00681,"P00413,P00389,P00353,P00458",13/07/2025,MK
INV00031,C01308,"P00413,P00389,P00353,P00458",12/07/2025,TKO
INV00032,C00737,"P00025,P00398",31/08/2025,TKO
INV00033,C00816,"P00413,P00389,P00353,P00458",21/08/2024,MK
INV00034,C01124,"P00413,P00389,P00353,P00458,P00096,P00143",12/03/2024,ST
INV00035,C00364,P00264,27/09/2024,MK
INV00036,C01318,"P00320,P00363,P00213",13/08/2024,CYB
INV00037,C01256,"P00206,P00007,P00473",24/06/2024,CYB
INV00038,C00415,"P00413,P00389,P00353,P00458",24/04/2024,MK
INV00039,C00041,"P00413,P00389,P00353,P00458,P00479,P00134",05/11/2025,MK
INV00040,C00330,"P00413,P00389,P00353,P00458,P00405",05/06/2025,ST
