Customer id,Recency,Frequency,Monetary,Cluster,Segment
C00001,262,5,22823.22,0,High Value
C00002,40,6,15302.550000000001,0,High Value
C00003,68,3,11433.6,1,Regular
C00004,78,5,26053.86,0,High Value
C00005,37,4,1625.7199999999998,1,Regular
C00006,57,2,5671.280000000001,1,Regular
C00007,492,2,4729.46,2,At Risk
C00008,119,6,21760.3,0,High Value
C00009,125,3,10935.44,1,Regular
C00010,17,5,22945.62,0,High Value
C00011,26,5,14096.310000000001,0,High Value
C00012,122,4,16652.77,1,Regular
C00013,37,7,22376.55,0,High Value
C00014,10,5,10917.730000000001,0,High Value
C00015,247,3,3147.13,1,Regular
C00016,131,4,13704.060000000001,1,Regular
C00017,275,2,9242.29,2,At Risk
C00018,4,5,22832.96,0,High Value
C00019,344,4,19332.95,2,At Risk
C00020,99,4,11855.150000000001,1,Regular
C00021,155,5,19851.95,0,High Value
C00022,339,3,7628.76,2,At Risk
C00023,79,14,31429.760000000002,0,High Value
C00024,68,8,23796.440000000002,0,High Value
C00025,212,1,919.3,3,New/Low Activity
C00026,232,6,30774.66,0,High Value
C00027,49,4,9804.5,1,Regular
C00028,271,4,10973.73,1,Regular
C00029,16,4,29582.71,0,High Value
C00030,5,7,15538.14,0,High Value
C00031,102,4,11778.23,1,Regular
C00032,269,4,11892.45,1,Regular
C00033,48,8,33066.22,0,High Value
C00034,262,7,19978.3,0,High Value
C00035,100,4,17273.86,0,High Value
C00036,31,4,19591.82,0,High Value
C00037,19,13,43257.97,0,High Value
C00038,142,4,5127.71,1,Regular
C00039,132,3,8275.79,1,Regular
C00040,124,5,14022.27,0,High Value
C00041,33,5,20935.48,0,High Value
C00042,48,8,35322.97,0,High Value
C00043,111,3,7160.91,1,Regular
C00044,8,5,16798.12,0,High Value
C00045,0,2,8603.61,1,Regular
C00046,104,10,31853.11,0,High Value
C00047,487,3,12802.710000000001,2,At Risk
C00048,360,1,3300.2,3,New/Low Activity
C00049,556,1,602.15,3,New/Low Activity
C00050,58,6,21032.170000000002,0,High Value
C00051,35,3,6544.389999999999,1,Regular
C00052,138,8,26522.83,0,High Value
C00053,216,1,3431.6800000000003,3,New/Low Activity
C00054,251,3,6829.71,1,Regular
C00055,268,3,14272.3,2,At Risk
C00056,327,3,11244.36,2,At Risk
C00057,108,5,15432.630000000001,0,High Value
C00058,384,3,10769.12,2,At Risk
C00059,88,3,15055.95,1,Regular
C00060,13,4,20017.260000000002,0,High Value
C00061,32,3,6293.37,1,Regular
C00062,440,3,9214.710000000001,2,At Risk
C00063,60,3,14132.44,1,Regular
C00064,53,6,13745.75,0,High Value
C00065,69,1,4263.83,1,Regular
C00066,228,4,24345.2,0,High Value
C00067,42,6,27162.58,0,High Value
C00068,71,7,22150.28,0,High Value
C00069,132,2,4792.64,1,Regular
C00070,138,3,9341.560000000001,1,Regular
C00071,13,3,8777.04,1,Regular
C00073,101,7,29189.050000000003,0,High Value
C00074,47,3,13580.42,1,Regular
C00075,6,8,40165.66,0,High Value
C00076,285,4,11426.300000000001,2,At Risk
C00077,23,5,9867.97,0,High Value
C00078,2,6,19229.53,0,High Value
C00079,37,2,3228.4,1,Regular
C00080,429,3,15419.44,2,At Risk
C00081,212,3,5519.0,1,Regular
C00082,336,2,10752.12,2,At Risk
C00083,72,4,12018.51,1,Regular
C00084,16,6,26808.19,0,High Value
C00085,305,6,22520.14,0,High Value
C00086,80,7,17448.58,0,High Value
C00087,193,9,34683.12,0,High Value
C00088,23,6,16196.91,0,High Value
C00089,1,6,19895.58,0,High Value
C00090,9,4,6489.16,1,Regular
C00091,26,6,15775.59,0,High Value
C00092,113,5,16450.190000000002,0,High Value
C00093,3,2,9521.02,1,Regular
C00094,146,4,2999.7,1,Regular
C00095,86,3,10210.79,1,Regular
C00096,250,2,7825.920000000001,2,At Risk
C00097,80,5,12248.65,0,High Value
C00098,67,5,21243.04,0,High Value
C00099,218,4,13394.93,1,Regular
C00100,35,3,11426.36,1,Regular
C00101,468,1,4266.53,2,At Risk
C00102,50,6,21633.39,0,High Value
C00103,268,3,9252.35,2,At Risk
C00104,243,5,17067.31,0,High Value
C00105,380,4,11505.76,2,At Risk
C00106,124,2,4092.6600000000003,1,Regular
C00107,19,5,16886.95,0,High Value
C00108,193,5,20927.16,0,High Value
C00109,185,7,29261.920000000002,0,High Value
C00110,606,1,4263.83,2,At Risk
C00111,558,1,6148.68,2,At Risk
C00112,271,4,13897.16,1,Regular
C00113,262,4,9785.310000000001,1,Regular
C00114,61,3,10754.130000000001,1,Regular
C00115,382,2,7351.530000000001,2,At Risk
C00116,282,3,8139.36,2,At Risk
C00117,271,3,4651.92,2,At Risk
C00118,200,3,4265.63,1,Regular
C00119,250,2,853.79,3,New/Low Activity
C00120,159,6,14668.12,0,High Value
C00121,155,9,29518.39,0,High Value
C00122,64,5,15144.53,0,High Value
C00123,315,2,9814.74,2,At Risk
C00124,177,6,16335.54,0,High Value
C00125,3,10,42682.67,0,High Value
C00126,120,5,20361.32,0,High Value
C00127,31,6,16627.88,0,High Value
C00128,555,1,233.13,3,New/Low Activity
C00129,162,4,13654.35,1,Regular
C00130,148,2,6180.37,1,Regular
C00131,41,5,24648.440000000002,0,High Value
C00132,73,4,12616.5,1,Regular
C00133,372,4,14611.08,2,At Risk
C00134,127,3,9309.92,1,Regular
C00135,274,4,8258.03,1,Regular
C00136,358,2,2082.9700000000003,3,New/Low Activity
C00137,41,4,19243.37,0,High Value
C00138,253,3,15096.18,1,Regular
C00139,54,7,21083.86,0,High Value
C00140,243,4,15331.44,1,Regular
C00141,526,2,515.64,3,New/Low Activity
C00142,52,6,21414.3,0,High Value
C00143,129,4,16497.02,1,Regular
