feature,importance
Recency,0.5149313376161159
Monetary,0.18281859713151555
Avg_Order_Value,0.06582788706321994
Purchase_Consistency,0.05184881501422486
Avg_Days_Between_Orders,0.04077369112228557
Age,0.03701688143019502
Tenure_Days,0.03580482289401615
Unique_Products,0.023709327940565593
Avg_Products_Per_Order,0.017084774637667853
Frequency,0.006946284083292344
Unique_Malls,0.006361902954733089
Product_Categories,0.004911118513175812
Payment_Method_Mobile Payment,0.0038513547550936542
Payment_Method_Credit Card,0.0036502546237633725
Gender_M,0.0030714828258917954
Segment_High Value,0.0006994277412202271
Segment_Regular,0.0006782296398626001
Segment_New/Low Activity,1.3810013160813419e-05
